,cell_type,tissue
705,HK-2,epithelium
706,HL-60,bodily fluid
707,HPDE6-E6E7,pancreas
708,HS-27A,epithelium
709,HS-5,bone marrow
710,HT-29,large intestine
711,HT1080,epithelium
712,HTR-8/SVneo,extraembryonic component
713,HUES48,embryo
714,HUES6,embryo
715,HUES64,embryo
716,HuH-7,epithelium
717,HuH-7.5,epithelium
718,IgD-negative memory B cell,bodily fluid
719,IgD-negative memory B cell originated from IgD-negative memory B cell,bodily fluid
720,immature natural killer cell donor ENCDO157PKH,bone marrow
721,immature natural killer cell donor ENCDO187BUH,bone marrow
722,immature natural killer cell donor ENCDO258PRN,bone marrow
723,immature natural killer cell donor ENCDO553CCA,bone marrow
724,immature natural killer cell donor ENCDO836ICQ,bone marrow
725,immature natural killer cell donor ENCDO922TOC,bone marrow
726,immature natural killer cell donor ENCDO976NED,bone marrow
727,IMR-90,lung
728,inferior parietal cortex tissue male adult 84 years,brain
729,inflammatory macrophage male adult 21 years and male adult 40 years,
730,inflammatory macrophage male adult 21 years and male adult 40 years; treated with lipopolysaccharide for 1 hour,
731,inflammatory macrophage male adult 21 years treated with lipopolysaccharide for 4 hours,
732,iPS-11a,skin of body
733,iPS-15b,skin of body
734,iPS-18a,skin of body
735,iPS-18c,skin of body
736,iPS-20b,skin of body
737,iPS-NIHi11 originated from AG20443,skin of body
738,iPS-NIHi7 originated from AG08395,skin of body
739,iPS DF 19.11,skin of body
740,iPS DF 19.7,penis
741,iPS DF 4.7,penis
742,iPS DF 6.9,penis
743,iris pigment epithelial cell,epithelium
744,Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour,uterus
745,Ishikawa treated with 10 nM 17?-estradiol for 30 minutes,uterus
746,Ishikawa treated with 600 nM afimoxifene for 30 minutes,uterus
747,islet precursor cell,pancreas
748,Jurkat; Clone E6-1,bodily fluid
749,K562,bodily fluid
750,K562 G1 phase,blood
751,K562 G2 phase,blood
752,K562 treated with 0.05% dimethyl sulfoxide for 72 hours,blood
753,K562 treated with 1 ?M vorinostat for 72 hours,blood
754,K562 treated with 500 ?M sodium butyrate for 72 hours,blood
755,Karpas-422,bodily fluid
756,KBM-7,bone marrow
757,keratinocyte female donor ENCDO268AAA,skin of body
758,keratinocyte female donor ENCDO302AAA,epithelium
759,kidney capillary endothelial cell female embryo 113 days,epithelium
760,kidney epithelial cell,epithelium
761,kidney glomerular epithelial cell male adult 43 years and male adult 62 years,epithelium
762,kidney tissue embryo 59 days and female embryo 59 days,kidney
763,kidney tissue embryo 80 days,kidney
764,kidney tissue female adult 47 years,kidney
765,kidney tissue female embryo 105 days donor ENCDO718LHH,kidney
766,kidney tissue female embryo 105 days donor ENCDO863KZW,kidney
767,kidney tissue female embryo 108 days,kidney
768,kidney tissue female embryo 113 days,kidney
769,kidney tissue female embryo 120 days,kidney
770,kidney tissue female embryo 121 days,kidney
771,kidney tissue female embryo 76 days and male embryo 76 days,kidney
772,kidney tissue female embryo 85 days,kidney
773,kidney tissue male adult 22 years and male adult 27 years and male adult 35 years,kidney
774,kidney tissue male adult 50 years,kidney
775,kidney tissue male adult 67 years,kidney
776,kidney tissue male embryo 105 days,kidney
777,kidney tissue male embryo 85 days,kidney
778,kidney tissue male embryo 87 days,kidney
779,kidney tubule cell female adult 80 years and male adult 62 years,epithelium
780,kidney tubule cell female adult 80 years treated with 5 ?M cisplatin,epithelium
781,KMS-11,bone element
782,KOPT-K1,bodily fluid
783,L1-S8,bone marrow
784,L1-S8R,bone marrow
785,large intestine tissue female embryo 103 days,large intestine
786,large intestine tissue female embryo 105 days,large intestine
787,large intestine tissue female embryo 107 days,large intestine
788,large intestine tissue female embryo 108 days,large intestine
789,large intestine tissue female embryo 110 days,large intestine
790,large intestine tissue female embryo 120 days,large intestine
791,large intestine tissue female embryo 91 days,large intestine
792,large intestine tissue female embryo 98 days,large intestine
793,large intestine tissue male embryo 105 days donor ENCDO171HMD,large intestine
794,large intestine tissue male embryo 105 days donor ENCDO350ZUK,large intestine
795,large intestine tissue male embryo 108 days,intestine
796,large intestine tissue male embryo 113 days,large intestine
797,large intestine tissue male embryo 115 days,large intestine
798,large intestine tissue male embryo 91 days,large intestine
799,layer of hippocampus tissue female adult 75 years,brain
800,layer of hippocampus tissue male adult 73 years,brain
801,layer of hippocampus tissue male adult 81 years,brain
802,left cardiac atrium tissue female adult 59 years,heart
803,left cardiac atrium tissue female embryo 101 days,heart
804,left colon tissue female adult 46 years,large intestine
805,left colon tissue female adult 59 years,large intestine
806,left forelimb tissue male embryo 81 days,skeleton
807,left hindlimb tissue male embryo 81 days,skeleton
808,left kidney tissue female embryo 107 days,kidney
809,left kidney tissue female embryo 110 days,kidney
810,left kidney tissue female embryo 147 days,kidney
811,left kidney tissue female embryo 59 days and male embryo 91 days,kidney
812,left kidney tissue female embryo 87 days,kidney
813,left kidney tissue female embryo 98 days,kidney
814,left kidney tissue male embryo 115 days,kidney
815,left kidney tissue male embryo 87 days,kidney
816,left kidney tissue male embryo 96 days,kidney
817,left lobe of liver tissue male adult 45 years,endocrine gland
818,left lung tissue female child 16 years,lung
819,left lung tissue female embryo 105 days,lung
820,left lung tissue female embryo 107 days,lung
821,left lung tissue female embryo 108 days,lung
822,left lung tissue female embryo 110 days,lung
823,left lung tissue female embryo 117 days,lung
824,left lung tissue female embryo 91 days,lung
825,left lung tissue female embryo 98 days,lung
826,left lung tissue male adult 40 years,lung
827,left lung tissue male embryo 105 days,lung
828,left lung tissue male embryo 113 days,lung
829,left lung tissue male embryo 115 days,lung
830,left lung tissue male embryo 87 days,lung
831,left lung tissue male embryo 91 days,lung
832,left lung tissue male embryo 96 days,lung
833,left renal cortex interstitium tissue male embryo 105 days donor ENCDO171HMD,kidney
834,left renal cortex interstitium tissue male embryo 105 days donor ENCDO378UAU,kidney
835,left renal cortex interstitium tissue male embryo 105 days donor ENCDO513BVP,kidney
836,left renal cortex interstitium tissue male embryo 120 days,kidney
837,left renal pelvis tissue male embryo 105 days donor ENCDO171HMD,kidney
838,left renal pelvis tissue male embryo 105 days donor ENCDO378UAU,kidney
839,left renal pelvis tissue male embryo 105 days donor ENCDO513BVP,kidney
840,left renal pelvis tissue male embryo 120 days,kidney
841,left ventricle myocardium inferior tissue male adult 60 years,heart
842,left ventricle myocardium superior tissue male adult 60 years,heart
843,LHCN-M2,musculature of body
844,limb tissue embryo 53 days and embryo 56 days,limb
845,limb tissue embryo 58 days and embryo 59 days,limb
846,liver tissue embryo 59 days and embryo 80 days,endocrine gland
847,liver tissue female adult 25 years,endocrine gland
848,liver tissue female child 6 years and male adult 32 years,endocrine gland
849,liver tissue female embryo 101 days and female embryo 113 days,endocrine gland
850,liver tissue male adult 31 years,endocrine gland
851,liver tissue male adult 32 years,endocrine gland
852,liver tissue male adult 78 years,endocrine gland
853,LNCAP,prostate gland
854,LNCaP clone FGC,epithelium
855,LNCaP clone FGC treated with 1 nM 17?-hydroxy-17-methylestra-4;9;11-trien-3-one for 12 hours,epithelium
856,LNCAP treated with 10 nM 17?-hydroxy-5?-androstan-3-one for 4 hours,prostate gland
857,Loucy,bodily fluid
858,LoVo,large intestine
859,lower leg skin tissue female adult 51 years,skin of body
860,lower leg skin tissue female adult 53 years,limb
861,lower leg skin tissue male adult 37 years,skin of body
862,lower leg skin tissue male adult 54 years,skin of body
863,lower lobe of left lung tissue female adult 59 years,lung
864,lower lobe of left lung tissue female adult 61 years,lung
865,lower lobe of left lung tissue male adult 60 years,lung
866,lower lobe of right lung tissue male adult 60 years,lung
867,lung microvascular endothelial cell female donor ENCDO237AAA,epithelium
868,lung microvascular endothelial cell female donor ENCDO238AAA,epithelium
869,lung tissue embryo 101 days,lung
870,lung tissue embryo 112 days,lung
871,lung tissue embryo 67 days,lung
872,lung tissue embryo 80 days and male embryo 76 days,lung
873,lung tissue female adult 30 years,lung
874,lung tissue female adult 47 years,lung
875,lung tissue female embryo 108 days,lung
876,lung tissue female embryo 120 days,lung
877,lung tissue female embryo 76 days,lung
878,lung tissue female embryo 85 days,lung
879,lung tissue female embryo 96 days,lung
880,lung tissue male adult 27 years and male adult 35 years,lung
881,lung tissue male child 3 years,lung
882,lung tissue male embryo 103 days,lung
883,lung tissue male embryo 108 days,lung
884,lung tissue male embryo 54 days and male embryo 58 days,lung
885,lung tissue male embryo 82 days,lung
886,M059J,brain
887,mammary epithelial cell female,mammary gland
888,mammary epithelial cell female adult 18 years,mammary gland
889,mammary epithelial cell female adult 50 years,epithelium
890,MCF-7,mammary gland
891,MCF-7 genetically modified using RNAi,epithelium
892,MCF-7 originated from MCF-7,epithelium
893,MCF-7 treated with 100 nM 17?-estradiol for 45 minutes,mammary gland
894,MCF-7 treated with 100 nM estradiol for 1 hour,epithelium
895,MCF-7 treated with 10 mM lactate for 24 hours,epithelium
896,MCF 10A,epithelium
897,MCF 10A treated with 1 ?M tamoxifen for 24 hours,epithelium
898,MCF 10A treated with 1 ?M tamoxifen for 6 hours,epithelium
899,medulla oblongata tissue male adult 78 years and male adult 84 years,brain
900,mesenchymal cell originated from H1,connective tissue
901,mesenchymal stem cell female adult and female adult 41 years and female adult 59 years; originated from adipose tissue,connective tissue
902,mesendoderm originated from H1,embryo
903,mesenteric fat pad tissue female adult 59 years,adipose tissue
904,mesodermal cell originated from H7 treated with 5 ng/mL Fibroblast growth factor 2 for 2 days; 6 ng/mL Activin A for 2 days; 10 ng/mL Bone morphogenetic protein 4 for 2 days,embryo
905,mesodermal cell originated from HUES64,embryo
906,MG63,bone element
907,mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9,ESC derived
908,midbrain tissue male adult 78 years and male adult 84 years,brain
909,middle frontal area 46 tissue female adult 75 years,brain
910,middle frontal area 46 tissue male adult 81 years,brain
911,middle frontal gyrus tissue male adult 78 years,brain
912,MM.1S,bodily fluid
913,mononuclear cell male,blood
914,mucosa of descending colon tissue female adult 61 years,large intestine
915,mucosa of descending colon tissue male adult 26 years,large intestine
916,mucosa of descending colon tissue male adult 40 years,large intestine
917,mucosa of gallbladder tissue female child 16 years,gallbladder
918,mucosa of rectum tissue female adult 50 years,intestine
919,mucosa of rectum tissue female adult 61 years,intestine
920,mucosa of stomach tissue male adult 59 years,stomach
921,muscle layer of colon tissue female adult 56 years,intestine
922,muscle layer of colon tissue female adult 77 years,intestine
923,muscle layer of duodenum tissue male adult 59 years,intestine
924,muscle layer of duodenum tissue male adult 73 years,intestine
925,muscle of arm tissue embryo 101 days,musculature of body
926,muscle of arm tissue female embryo 105 days,musculature of body
927,muscle of arm tissue female embryo 115 days,musculature of body
928,muscle of arm tissue female embryo 120 days,musculature of body
929,muscle of arm tissue female embryo 85 days,musculature of body
930,muscle of arm tissue female embryo 98 days,musculature of body
931,muscle of arm tissue male embryo 101 days,musculature of body
932,muscle of arm tissue male embryo 104 days,musculature of body
933,muscle of arm tissue male embryo 105 days,musculature of body
934,muscle of arm tissue male embryo 113 days,musculature of body
935,muscle of arm tissue male embryo 115 days,musculature of body
936,muscle of arm tissue male embryo 120 days,musculature of body
937,muscle of arm tissue male embryo 127 days,musculature of body
938,muscle of arm tissue male embryo 96 days donor ENCDO220PYT,musculature of body
939,muscle of arm tissue male embryo 96 days donor ENCDO817EKT,musculature of body
940,muscle of arm tissue male embryo 97 days donor ENCDO576LXR,musculature of body
941,muscle of arm tissue male embryo 97 days donor ENCDO597UXW,musculature of body
942,muscle of back tissue female embryo 105 days donor ENCDO766MZV,musculature of body
943,muscle of back tissue female embryo 105 days donor ENCDO863KZW,musculature of body
944,muscle of back tissue female embryo 113 days,musculature of body
945,muscle of back tissue female embryo 115 days,musculature of body
946,muscle of back tissue female embryo 85 days,musculature of body
947,muscle of back tissue female embryo 98 days,musculature of body
948,muscle of back tissue male embryo 101 days,musculature of body
949,muscle of back tissue male embryo 104 days,musculature of body
950,muscle of back tissue male embryo 105 days,musculature of body
951,muscle of back tissue male embryo 108 days,musculature of body
952,muscle of back tissue male embryo 127 days,musculature of body
953,muscle of back tissue male embryo 91 days,musculature of body
954,muscle of back tissue male embryo 96 days donor ENCDO220PYT,musculature of body
955,muscle of back tissue male embryo 96 days donor ENCDO817EKT,musculature of body
956,muscle of back tissue male embryo 97 days,musculature of body
957,muscle of leg tissue female embryo 105 days,musculature of body
958,muscle of leg tissue female embryo 110 days,musculature of body
959,muscle of leg tissue female embryo 113 days,musculature of body
960,muscle of leg tissue female embryo 115 days,musculature of body
961,muscle of leg tissue female embryo 85 days,musculature of body
962,muscle of leg tissue male embryo 101 days,musculature of body
963,muscle of leg tissue male embryo 104 days,musculature of body
964,muscle of leg tissue male embryo 105 days,musculature of body
965,muscle of leg tissue male embryo 115 days,musculature of body
966,muscle of leg tissue male embryo 127 days,musculature of body
967,muscle of leg tissue male embryo 96 days donor ENCDO220PYT,musculature of body
968,muscle of leg tissue male embryo 96 days donor ENCDO817EKT,musculature of body
969,muscle of leg tissue male embryo 97 days donor ENCDO576LXR,musculature of body
970,muscle of leg tissue male embryo 97 days donor ENCDO597UXW,musculature of body
971,muscle of trunk tissue female embryo 113 days,musculature of body
972,muscle of trunk tissue female embryo 115 days,musculature of body
973,muscle of trunk tissue female embryo 120 days,musculature of body
974,muscle of trunk tissue female embryo 121 days,musculature of body
975,myocyte originated from LHCN-M2,musculature of body
976,myoepithelial cell of mammary gland female adult 33 years,mammary gland
977,myoepithelial cell of mammary gland female adult 36 years,mammary gland
978,myotube originated from skeletal muscle myoblast,musculature of body
979,naive B cell donor ENCDO270AAA,blood
980,naive B cell donor ENCDO553CCA,bodily fluid
981,naive B cell donor ENCDO836ICQ,bodily fluid
982,naive B cell originated from naive B cell donor ENCDO187BUH,bodily fluid
983,naive B cell originated from naive B cell donor ENCDO922TOC,bodily fluid
984,naive B cell originated from naive B cell donor ENCDO976NED,bodily fluid
985,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO173AAA,blood
986,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO194EHQ,bodily fluid
987,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO258PRN,bodily fluid
988,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO553CCA,bodily fluid
989,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO688UWB,bodily fluid
990,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO836ICQ,bodily fluid
991,naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO922CEJ,bodily fluid
992,naive thymus-derived CD4-positive; alpha-beta T cell female adult 35 years,blood
993,naive thymus-derived CD4-positive; alpha-beta T cell male adult 26 years,blood
994,naive thymus-derived CD4-positive; alpha-beta T cell originated from naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO157PKH,bodily fluid
995,naive thymus-derived CD4-positive; alpha-beta T cell originated from naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO187BUH,bodily fluid
996,naive thymus-derived CD4-positive; alpha-beta T cell originated from naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO922TOC,bodily fluid
997,naive thymus-derived CD4-positive; alpha-beta T cell originated from naive thymus-derived CD4-positive; alpha-beta T cell donor ENCDO976NED,bodily fluid
998,naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO258PRN,bodily fluid
999,naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO553CCA,bodily fluid
1000,naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO836ICQ,bodily fluid
1001,naive thymus-derived CD8-positive; alpha-beta T cell originated from naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO187BUH,bodily fluid
1002,naive thymus-derived CD8-positive; alpha-beta T cell originated from naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO922TOC,bodily fluid
1003,naive thymus-derived CD8-positive; alpha-beta T cell originated from naive thymus-derived CD8-positive; alpha-beta T cell donor ENCDO976NED,bodily fluid
1004,NAMALWA,blood
1005,NAMALWA treated with Sendai virus for 2 hours,blood
1006,natural killer cell female adult 34 years,blood
1007,natural killer cell male adult 21 years,blood
1008,natural killer cell male adult 37 years,bodily fluid
1009,NB4,bone marrow
1010,NCI-H226,lung
1011,NCI-H460,epithelium
1012,NCI-H929,bone element
1013,nephron organoid female embryo 5 days differentiated 35 days,kidney
1014,nephron organoid female embryo 5 days differentiated 49 days,kidney
1015,nephron organoid female embryo 5 days originated from H9 differentiated 21 days,kidney
1016,neural cell originated from H1,ESC derived
1017,neural crest cell,embryo
1018,neural progenitor cell originated from H9,ESC derived
1019,neuroepithelial stem cell genetically modified using stable transfection originated from H9,embryo
1020,neuron originated from H9,ESC derived
1021,neuronal stem cell originated from H1,embryo
1022,neuronal stem cell originated from H9,embryo
1023,neurosphere embryo 15 weeks originated from ganglionic eminence donor ENCDO280TXL,ESC derived
1024,neurosphere embryo 15 weeks originated from ganglionic eminence donor ENCDO594MAO,ESC derived
1025,neurosphere female embryo 17 weeks originated from cortex,ESC derived
1026,neurosphere female embryo 17 weeks originated from ganglionic eminence,ESC derived
1027,neutrophil,bodily fluid
1028,neutrophil male,bodily fluid
1029,non-pigmented ciliary epithelial cell,epithelium
1030,NT2/D1,gonad
1031,occipital lobe tissue male adult 84 years,brain
1032,OCI-LY1,bone marrow
1033,OCI-LY3,lymph node
1034,OCI-LY7,blood
1035,omental fat pad tissue female adult 51 years,adipose tissue
1036,omental fat pad tissue female adult 53 years,adipose tissue
1037,omental fat pad tissue male adult 37 years,adipose tissue
1038,omental fat pad tissue male adult 54 years,adipose tissue
1039,osteoblast,connective tissue
1040,ovary tissue female adult 30 years,ovary
1041,ovary tissue female adult 41 years,gonad
1042,ovary tissue female adult 46 years,gonad
1043,ovary tissue female adult 47 years,gonad
1044,ovary tissue female adult 51 years,ovary
1045,ovary tissue female adult 53 years,gonad
1046,ovary tissue female adult 59 years,gonad
1047,ovary tissue female adult 61 years,gonad
1048,ovary tissue female embryo,gonad
1049,Panc1,pancreas
1050,pancreas tissue female adult 30 years,pancreas
1051,pancreas tissue female adult 41 years,pancreas
1052,pancreas tissue female adult 47 years,pancreas
1053,pancreas tissue female adult 59 years,pancreas
1054,pancreas tissue female adult 61 years,pancreas
1055,pancreas tissue female child 16 years,pancreas
1056,pancreas tissue male adult 26 years,pancreas
1057,pancreas tissue male adult 34 years,pancreas
1058,pancreas tissue male adult 54 years and male adult 60 years,pancreas
1059,parathyroid adenoma tissue male adult 62 years,paraythroid gland
1060,parathyroid adenoma tissue male adult 65 years,paraythroid gland
1061,PC-3,prostate gland
1062,PC-9,lung
1063,peripheral blood mononuclear cell female adult 28 years,bodily fluid
1064,peripheral blood mononuclear cell male adult 27 years,bodily fluid
1065,peripheral blood mononuclear cell male adult 32 years,bodily fluid
1066,peripheral blood mononuclear cell male adult 39 years,bodily fluid
1067,Peyer's patch tissue female adult 51 years,intestine
1068,Peyer's patch tissue female adult 53 years,intestine
1069,Peyer's patch tissue male adult 37 years,intestine
1070,Peyer's patch tissue male adult 54 years,intestine
1071,placenta tissue embryo,extraembryonic component
1072,placenta tissue embryo 102 days,extraembryonic component
1073,placenta tissue embryo 16 weeks,extraembryonic component
1074,placenta tissue embryo 53 days,extraembryonic component
1075,placenta tissue embryo 56 days and embryo 59 days,extraembryonic component
1076,placenta tissue female embryo 101 days and male embryo 105 days,extraembryonic component
1077,placenta tissue female embryo 105 days,extraembryonic component
1078,placenta tissue female embryo 108 days,extraembryonic component
1079,placenta tissue female embryo 113 days,placenta
1080,placenta tissue female embryo 85 days,extraembryonic component
1081,placenta tissue female embryo donor ENCDO353NXC,extraembryonic component
1082,placenta tissue female embryo donor ENCDO412HAL,extraembryonic component
1083,placenta tissue female embryo donor ENCDO496RNL,extraembryonic component
1084,placenta tissue female embryo donor ENCDO818SNP,extraembryonic component
1085,placenta tissue female embryo donor ENCDO952QED,extraembryonic component
1086,placenta tissue male embryo 16 weeks,extraembryonic component
1087,placenta tissue male embryo 85 days,extraembryonic component
1088,placenta tissue male embryo 91 days,extraembryonic component
1089,placenta tissue male embryo donor ENCDO023YQQ,extraembryonic component
1090,placenta tissue male embryo donor ENCDO225QCT,extraembryonic component
1091,placenta tissue male embryo donor ENCDO384FEJ,extraembryonic component
1092,placenta tissue male embryo donor ENCDO442GWY,extraembryonic component
1093,placenta tissue male embryo donor ENCDO824PZQ,extraembryonic component
1094,placenta tissue male embryo donor ENCDO868MLX,extraembryonic component
1095,placental basal plate tissue female embryo 40 weeks,extraembryonic component
1096,placental basal plate tissue male embryo 38 weeks,extraembryonic component
1097,pons tissue male adult 78 years,brain
1098,posterior cingulate gyrus tissue female adult 75 years,brain
1099,posterior cingulate gyrus tissue female adult 77 years,brain
1100,posterior cingulate gyrus tissue female adult 82 years donor ENCDO165PNJ,brain
1101,posterior cingulate gyrus tissue female adult 82 years donor ENCDO290OPS,brain
1102,posterior cingulate gyrus tissue female adult 84 years,brain
1103,posterior cingulate gyrus tissue female adult 85 years,brain
1104,posterior cingulate gyrus tissue female adult 86 years with Alzheimer's disease,brain
1105,posterior cingulate gyrus tissue female adult 87 years,brain
1106,posterior cingulate gyrus tissue female adult 87 years with Cognitive impairment; Alzheimer's disease,brain
1107,posterior cingulate gyrus tissue female adult 88 years,brain
1108,posterior cingulate gyrus tissue female adult 88 years with Alzheimer's disease,brain
1109,posterior cingulate gyrus tissue female adult 89 years,brain
1110,posterior cingulate gyrus tissue female adult 89 years with Alzheimer's disease,brain
1111,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO006DAA,brain
1112,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO218FFZ,brain
1113,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO242JQO,brain
1114,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO250PFZ,brain
1115,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO921LXT,brain
1116,posterior cingulate gyrus tissue female adult 90 or above years donor ENCDO948PMW,brain
1117,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO020BIL,brain
1118,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO150EBZ,brain
1119,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO258GJF,brain
1120,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO473TSU,brain
1121,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO658JXQ,brain
1122,posterior cingulate gyrus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO680UUE,brain
1123,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO170MSG,brain
1124,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO204VNL,brain
1125,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO343SFL,brain
1126,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO394ZHU,brain
1127,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO471EKG,brain
1128,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO672KST,brain
1129,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO893GME,brain
1130,posterior cingulate gyrus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO915WZE,brain
1131,posterior cingulate gyrus tissue male adult 73 years with Cognitive impairment; Alzheimer's disease,brain
1132,posterior cingulate gyrus tissue male adult 78 years,brain
1133,posterior cingulate gyrus tissue male adult 80 years with Cognitive impairment; Alzheimer's disease,brain
1134,posterior cingulate gyrus tissue male adult 82 years,brain
1135,posterior cingulate gyrus tissue male adult 83 years donor ENCDO592ZWW,brain
1136,posterior cingulate gyrus tissue male adult 83 years donor ENCDO736YJH,brain
1137,posterior cingulate gyrus tissue male adult 90 or above years with Alzheimer's disease donor ENCDO197QVG,brain
1138,posterior cingulate gyrus tissue male adult 90 or above years with Alzheimer's disease donor ENCDO921RVK,brain
1139,posterior vena cava tissue female adult 47 years,blood vessel
1140,prostate gland tissue male adult 37 years,prostate gland
1141,prostate gland tissue male adult 54 years,prostate gland
1142,psoas muscle tissue female adult 30 years,musculature of body
1143,psoas muscle tissue female adult 59 years,musculature of body
1144,psoas muscle tissue female adult 61 years,musculature of body
1145,psoas muscle tissue female child 16 years,musculature of body
1146,psoas muscle tissue male adult 27 years and male adult 35 years,musculature of body
1147,psoas muscle tissue male adult 34 years,musculature of body
1148,psoas muscle tissue male child 3 years,musculature of body
1149,pulmonary artery endothelial cell female,epithelium
1150,putamen tissue male adult 78 years,brain
1151,radial glial cell genetically modified using stable transfection originated from H9,embryo
1152,RCC,kidney
1153,RCC 7860,epithelium
1154,rectal smooth muscle tissue tissue female adult 50 years,intestine
1155,regulatory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
1156,regulatory T cell female adult 35 years,blood
1157,regulatory T cell male adult 24 years,blood
1158,regulatory T cell male adult 28 years,blood
1159,regulatory T cell male adult 56 years,blood
1160,regulatory T cell originated from blood cell,bodily fluid
1161,renal cortex interstitium tissue female embryo 103 days,kidney
1162,renal cortex interstitium tissue female embryo 120 days,kidney
1163,renal cortex interstitium tissue female embryo 89 days,kidney
1164,renal cortex interstitium tissue female embryo 96 days donor ENCDO613NXA,kidney
1165,renal cortex interstitium tissue female embryo 96 days donor ENCDO870OBN,kidney
1166,renal cortex interstitium tissue male embryo 108 days donor ENCDO014CNM,kidney
1167,renal cortex interstitium tissue male embryo 108 days donor ENCDO132ASK,kidney
1168,renal cortex interstitium tissue male embryo 113 days,kidney
1169,renal cortex interstitium tissue male embryo 127 days,kidney
1170,renal cortex interstitium tissue male embryo 91 days,kidney
1171,renal cortex interstitium tissue male embryo 97 days,kidney
1172,renal cortical epithelial cell,epithelium
1173,renal pelvis tissue female embryo 103 days,kidney
1174,renal pelvis tissue female embryo 105 days,kidney
1175,renal pelvis tissue female embryo 89 days,kidney
1176,renal pelvis tissue female embryo 96 days donor ENCDO613NXA,kidney
1177,renal pelvis tissue female embryo 96 days donor ENCDO870OBN,kidney
1178,renal pelvis tissue male embryo 108 days,kidney
1179,renal pelvis tissue male embryo 113 days,kidney
1180,renal pelvis tissue male embryo 127 days,kidney
1181,renal pelvis tissue male embryo 91 days,kidney
1182,renal pelvis tissue male embryo 97 days,kidney
1183,retina tissue embryo 125 days and male embryo 103 days,eye
1184,retina tissue embryo 74 days and embryo 85 days,eye
1185,retina tissue female embryo 89 days,eye
1186,retinal pigment epithelial cell,eye
1187,right atrium auricular region tissue female adult 51 years,heart
1188,right atrium auricular region tissue female adult 53 years,heart
1189,right cardiac atrium tissue female adult 46 years,heart
1190,right cardiac atrium tissue female adult 59 years,heart
1191,right cardiac atrium tissue male adult 34 years,heart
1192,right cardiac atrium tissue male adult 40 years,heart
1193,right cardiac atrium tissue male adult 60 years,heart
1194,right forelimb tissue male embryo 81 days,skeleton
1195,right hindlimb tissue male embryo 81 days,skeleton
1196,right kidney tissue female embryo 107 days,kidney
1197,right kidney tissue female embryo 117 days,kidney
1198,right kidney tissue female embryo 147 days,kidney
1199,right kidney tissue female embryo 87 days,kidney
1200,right kidney tissue female embryo 98 days,kidney
1201,right kidney tissue male embryo 108 days,kidney
1202,right kidney tissue male embryo 115 days,kidney
1203,right kidney tissue male embryo 87 days,kidney
1204,right kidney tissue male embryo 91 days,kidney
1205,right kidney tissue male embryo 96 days,kidney
1206,right lobe of liver tissue female adult 41 years,endocrine gland
1207,right lobe of liver tissue female adult 47 years,endocrine gland
1208,right lobe of liver tissue female adult 53 years,endocrine gland
1209,right lobe of liver tissue female child 16 years,endocrine gland
1210,right lobe of liver tissue male adult 45 years,endocrine gland
1211,right lung tissue female embryo 105 days,lung
